id,purchaseOrderNumber,companyId,userId,orderType,trackingNumber,dateReceived,shippedVia,comment,createdAt,updatedAt
127,Macmotive po 1,1419,8,,,2020-03-24T14:24:27.561,,,2020-03-24T14:24:27.561,2020-03-24T14:24:27.561
128,EO-7847,1365,10,,,2020-03-24T14:34:35.601,,"NO - CPU, Mem, NVMe",2020-03-24T14:34:35.601,2020-03-24T14:34:35.601
129,Eo-7871,92,8,,,2020-03-25T14:04:01.251,,,2020-03-25T14:04:01.251,2020-03-25T14:04:01.251
130,Rma-12874,1420,8,,,2020-03-25T14:04:56.488,,,2020-03-25T14:04:56.488,2020-03-25T14:04:56.488
131,SO-288425,1421,8,,,2020-03-26T10:23:21.117,,,2020-03-26T10:23:21.117,2020-03-26T10:23:21.117
132,EO7881,1398,8,,,2020-03-26T10:23:33.661,,,2020-03-26T10:23:33.661,2020-03-26T10:23:33.661
133,EO-7874,60,8,,,2020-03-26T12:34:42.628,,,2020-03-26T12:34:42.628,2020-03-26T12:34:42.628
135,EO-7884,61,10,,,2020-03-27T13:51:01.260,,,2020-03-27T13:51:01.260,2020-03-27T13:51:01.260
136,EO-7868,61,8,,,2020-03-27T14:42:29.644,,,2020-03-27T14:42:29.644,2020-03-27T14:42:29.644
137,4193678,1422,8,,,2020-03-27T14:43:30.567,,,2020-03-27T14:43:30.567,2020-03-27T14:43:30.567
139,Ebay 1940,1423,8,,,2020-03-27T14:44:43.506,,,2020-03-27T14:44:43.506,2020-03-27T14:44:43.506
140,Ebay 16684,1424,8,,,2020-03-27T14:45:15.328,,,2020-03-27T14:45:15.328,2020-03-27T14:45:15.328
141,EO-7817,1388,8,,,2020-03-27T14:51:59.225,,,2020-03-27T14:51:59.225,2020-03-27T14:51:59.225
151,Eo-7886,1415,8,,,2020-03-30T12:55:38.329,,,2020-03-30T12:55:38.329,2020-03-30T12:55:38.329
152,EO-7867,1388,8,,,2020-03-30T12:56:10.200,,,2020-03-30T12:56:10.200,2020-03-30T12:56:10.200
153,Ebay 1945,1425,8,,,2020-03-30T12:56:45.574,,,2020-03-30T12:56:45.574,2020-03-30T12:56:45.574
154,EO-7885,60,10,,,2020-03-30T13:51:19.114,,,2020-03-30T13:51:19.114,2020-03-30T13:51:19.114
155,EO-7893,61,8,,,2020-03-31T09:15:58.826,,,2020-03-31T09:15:58.826,2020-03-31T09:15:58.826
156,EO-7887,1415,10,,,2020-03-31T14:56:27.301,,,2020-03-31T14:56:27.301,2020-03-31T14:56:27.301
157,EO-129243,1426,8,,,2020-03-31T15:45:47.454,,,2020-03-31T15:45:47.454,2020-03-31T15:45:47.454
158,EO-7890,1427,8,,,2020-03-31T15:46:25.515,,,2020-03-31T15:46:25.515,2020-03-31T15:46:25.515
161,EO-7895,1415,8,,,2020-04-08T14:39:53.243,,,2020-04-08T14:39:53.243,2020-04-08T14:39:53.243
162,EO-7897,1429,8,,,2020-04-09T12:10:30.025,,,2020-04-09T12:10:30.025,2020-04-09T12:10:30.025
180,RMA12892,1420,8,,,2020-04-13T15:13:39.015,,,2020-04-13T15:13:39.015,2020-04-13T15:13:39.015
181,EO-7889,61,8,,,2020-04-13T15:14:13.614,,,2020-04-13T15:14:13.614,2020-04-13T15:14:13.614
182,298981,1415,8,,,2020-04-14T13:17:17.031,,,2020-04-14T13:17:17.031,2020-04-14T13:17:17.031
187,EO-7898,1416,8,,,2020-04-15T15:21:19.638,,,2020-04-15T15:21:19.638,2020-04-15T15:21:19.638
188,RMA-12956,1362,8,,,2020-04-15T15:21:43.332,,,2020-04-15T15:21:43.332,2020-04-15T15:21:43.332
189,5346606927,1430,8,,,2020-04-17T09:38:40.607,,,2020-04-17T09:38:40.607,2020-04-17T09:38:40.607
190,RMA-12994,1415,8,,,2020-04-20T11:36:46.179,,RMA,2020-04-20T11:36:46.179,2020-04-20T11:36:46.179
191,3-27-2020,1431,8,,,2020-04-21T09:24:32.173,,,2020-04-21T09:24:32.173,2020-04-21T09:24:32.173
192,EO-7902,1388,8,,,2020-04-21T15:35:04.492,,,2020-04-21T15:35:04.492,2020-04-21T15:35:04.492
193,Eo-7907,387,8,,,2020-04-22T13:15:19.942,,,2020-04-22T13:15:19.942,2020-04-22T13:15:19.942
194,RMA-12243,1432,8,,,2020-04-23T11:11:14.896,,,2020-04-23T11:11:14.896,2020-04-23T11:11:14.896
195,5346763374,1433,8,,,2020-04-24T10:05:52.082,,,2020-04-24T10:05:52.082,2020-04-24T10:05:52.082
196,EO-7908,1416,8,,,2020-04-24T13:41:06.747,,,2020-04-24T13:41:06.747,2020-04-24T13:41:06.747
199,NRSCOMP4272020,1434,8,,,2020-04-27T11:46:51.156,,,2020-04-27T11:46:51.156,2020-04-27T11:46:51.156
200,EO-7911,1435,8,,,2020-04-27T16:28:50.759,,,2020-04-27T16:28:50.759,2020-04-27T16:28:50.759
201,Eo-7909,1365,8,,,2020-04-27T16:29:29.350,,,2020-04-27T16:29:29.350,2020-04-27T16:29:29.350
202,EO-7906,1436,8,,,2020-04-27T16:29:59.085,,,2020-04-27T16:29:59.085,2020-04-27T16:29:59.085
203,RMA13017,1437,8,,,2020-04-27T16:35:05.056,,,2020-04-27T16:35:05.056,2020-04-27T16:35:05.056
204,EO-7905,1397,10,,,2020-04-28T14:24:01.341,,,2020-04-28T14:24:01.341,2020-04-28T14:24:01.341
205,EO-7914,61,10,,,2020-04-28T14:37:03.068,,,2020-04-28T14:37:03.068,2020-04-28T14:37:03.068
207,EO-7903,1388,8,,,2020-04-28T15:38:29.221,,,2020-04-28T15:38:29.221,2020-04-28T15:38:29.221
208,EO-7916,1388,8,,,2020-04-28T15:39:03.186,,,2020-04-28T15:39:03.186,2020-04-28T15:39:03.186
209,EO-7915,61,8,,,2020-04-29T09:18:38.353,,,2020-04-29T09:18:38.353,2020-04-29T09:18:38.353
211,Ebay4292020,1438,8,,,2020-04-29T16:23:30.621,,,2020-04-29T16:23:30.621,2020-04-29T16:23:30.621
212,EO-7921,1439,8,,,2020-04-29T16:24:09.315,,,2020-04-29T16:24:09.315,2020-04-29T16:24:09.315
215,EO-7918,1441,8,,,2020-04-30T10:16:03.988,,,2020-04-30T10:16:03.988,2020-04-30T10:16:03.988
216,EO-7899,1442,10,,,2020-04-30T11:44:54.452,,,2020-04-30T11:44:54.452,2020-04-30T11:44:54.452
247,Ebay4302020,1443,8,,,2020-05-01T08:57:40.070,,2M2521101W,2020-05-01T08:57:40.070,2020-05-01T08:57:40.070
267,EO-7910,1444,8,,,2020-05-01T12:32:04.772,,,2020-05-01T12:32:04.772,2020-05-01T12:32:04.772
268,EO-7913,1444,8,,,2020-05-01T12:32:31.306,,,2020-05-01T12:32:31.306,2020-05-01T12:32:31.306
294,EO-7925,1445,8,,,2020-05-04T13:26:37.468,,,2020-05-04T13:26:37.468,2020-05-04T13:26:37.468
295,EO-7919,1357,8,,,2020-05-05T08:48:47.772,,,2020-05-05T08:48:47.772,2020-05-05T08:48:47.772
308,EP-7899,1442,8,,,2020-05-05T13:36:39.846,,,2020-05-05T13:36:39.846,2020-05-05T13:36:39.846
322,1Z30403F0495475748,1446,8,,,2020-05-06T14:23:58.642,,,2020-05-06T14:23:58.642,2020-05-06T14:23:58.642
327,5347030168,1433,8,,,2020-05-07T11:16:16.193,,,2020-05-07T11:16:16.193,2020-05-07T11:16:16.193
332,LkkR17,1399,8,,,2020-05-11T11:21:37.788,,,2020-05-11T11:21:37.788,2020-05-11T11:21:37.788
337,LJBN468 / 200325,1399,8,,,2020-05-11T11:23:11.862,,,2020-05-11T11:23:11.862,2020-05-11T11:23:11.862
341,LKGQ164,1399,8,,,2020-05-11T11:24:18.730,,,2020-05-11T11:24:18.730,2020-05-11T11:24:18.730
